name,recipe,base_ingredient,diet,preparation_method,taste,time_of_taking,cuisine_followed,region,protein_rich_indicator,nutritional_benefits,,,,,
Adhirasam,"Rice flour, jaggery, ghee, vegetable oil, elachi",Rice,vegetarian,Fried,sweet,Evening,Bengali,North Indian,Not Rich in Protein,High Fiber,,,,,
Aloo gobi,"Cauliflower, potato, garam masala, turmeric, curry leaves",Potato,vegetarian,Curry,spicy,Dinner,Punjabi,North Indian,Not Rich in Protein,Vitamins and Minerals,,,,,
Aloo matar,"Potato, peas, chillies, ginger, garam masala, garlic",Potato,vegetarian,Curry,spicy,Lunch,Punjabi,North Indian,Not Rich in Protein,Vitamins and Minerals,,,,,
Aloo methi,"Potato, fenugreek leaves, chillies, salt, oil",Potato,vegetarian,Curry,bitter,Dinner,Punjabi,North Indian,Not Rich in Protein,Vitamins and Minerals,,,,,
Aloo shimla mirch,"Potato, shimla mirch, garam masala, amchur powder, salt",Potato,vegetarian,Curry,spicy,Dinner,Punjabi,North Indian,Not Rich in Protein,Vitamins and Minerals,,,,,
Aloo tikki,"Rice flour, potato, bread crumbs, garam masala, salt",Potato,vegetarian,Fried,spicy,Evening,Punjabi,North Indian,Not Rich in Protein,Vitamins and Minerals,,,,,
Alu Pitika,"Potatoes, mustard oil, fish, green chillies",Potato,non vegetarian,Curry,spicy,Evening,Assam,North Indian,Not Rich in Protein,Vitamins and Minerals,,,,,
Amti,"Kala masala, arhar dal, curry leaves, mustard seeds, hot water",Lentils,vegetarian,Curry,spicy,Lunch,Maharashtrian,North Indian,Rich in Protein,Vitamins and Minerals,,,,,
Anarsa,"Rice flour, jaggery, khus-khus seeds",Rice,vegetarian,Fried,sweet,Evening,Maharashtrian,North Indian,Not Rich in Protein,Iron-Rich,,,,,
Ariselu,"Rice flour, jaggery, ghee",Rice,vegetarian,Fried,sweet,Evening,Hyderabadi,South Indian,Not Rich in Protein,Iron-Rich,,,,,
Attu,"Whole wheat flour, arhar dal, ginger, kala jeera, green chilli",Lentils,vegetarian,Fried,spicy,Breakfast,Hyderabadi,South Indian,Not Rich in Protein,High Fiber,,,,,
Avial,"Raw banana, elephant foot yam, long beans, tindora, urad dal",Vegetables,vegetarian,Curry,spicy,Lunch,Kerala,South Indian,Not Rich in Protein,Vitamins and Minerals,,,,,
Bajri no rotlo,"Wheat flour, pearl millet flour, hot water",Millet,vegetarian,Roasted,spicy,Evening,Gujarathi,North Indian,Not Rich in Protein,High Fiber,,,,,
Balu shahi,"Maida flour, yogurt, oil, sugar",Flour,vegetarian,Fried,sweet,Evening,Bengali,North Indian,Not Rich in Protein,High Fat,,,,,
Bandar laddu,"Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar",Flour,vegetarian,Spread,sweet,Evening,Hyderabadi,South Indian,Not Rich in Protein,High Fat,,,,,
Basundi,"Sugar, milk, nuts",Milk,vegetarian,Baked,sweet,Evening,Gujarathi,North Indian,Not Rich in Protein,Calcium-Rich,,,,,
